Jugador,Nacionalidad,Posicion,Edad,Dia_partido,Goles,Tiros Totales,xG,npxG,xAG,xAG.1,Acciones_que_crean_tiros,Pases_intentados,Pases_intentados.1,Pases_intentados.2,Pases_progresivos,Pases_progresivos.1,Regates_exitosos,Regates_exitosos.1,Pases_medios_completados,Pases_largos_completados,xAG.2,xAG.3,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_completados.1,Pases_completados.2,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,%_de_regates_exitosos,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Centros,Duelos_aereos_ganados,%_de_duelos_aereos_ganados,contract_date,Posicion_general,Posicion_general_Defensa,Posicion_general_Delantero,Posicion_general_Mediocampista,Posicion_general_Otros,market_value_predicho
Lars Ritzka,de GER,CB,0.0,"Sunday April 27, 2025",0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,1,0,0,0,0,0,0,,-,Defensa,True,False,False,False,0.0
Lars Ritzka,de GER,LW,0.0,"Friday August 30, 2024",0,0,0.0,0.0,0.0,0.0,1,46,46,46,1,1,0,0,14,1,0.0,0.0,0.0,2,38,8,0,0,33,33,33,0,2,0,11,2,0.0,1,0,0,1,34,7,0,0,0,0.0,-,Delantero,False,True,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Saturday August 31, 2024",0,0,0.0,0.0,0.0,0.0,0,67,67,67,5,5,0,0,28,3,0.0,0.0,0.0,3,63,3,0,2,55,55,55,1,2,0,3,0,,0,2,1,0,51,0,1,2,2,100.0,-,Defensa,True,False,False,False,0.0
Lars Ritzka,de GER,CB,0.0,"Sunday April 6, 2025",0,1,0.1,0.1,0.0,0.0,2,41,41,41,4,4,0,0,12,1,0.0,0.0,0.0,7,39,2,0,2,30,30,30,0,3,0,6,1,,0,1,1,0,27,2,1,2,0,0.0,-,Defensa,True,False,False,False,6917902.0
Anthony Jung,de GER,CB,0.0,"Saturday April 5, 2025",0,0,0.0,0.0,0.0,0.0,0,8,8,8,0,0,0,0,5,0,0.0,0.0,0.0,0,7,1,0,0,6,6,6,0,1,0,0,0,0.0,0,0,1,0,4,0,0,0,0,0.0,-,Defensa,True,False,False,False,0.0
Almugera Kabar,de GER,WB,0.0,"Saturday April 5, 2025",0,0,0.0,0.0,0.4,0.4,1,7,7,7,1,1,0,0,3,0,0.4,0.4,0.3,1,6,1,0,1,6,6,6,0,1,0,5,0,,0,0,0,0,5,1,0,1,0,0.0,30.06.2028,Defensa,True,False,False,False,19507274.200000003
Lars Ritzka,de GER,LM,0.0,"Saturday March 29, 2025",1,1,0.1,0.1,0.0,0.0,0,3,3,3,1,1,0,0,2,0,0.0,0.0,0.0,0,2,1,0,0,2,2,2,0,0,0,1,0,,0,1,0,0,2,0,0,0,0,,-,Mediocampista,False,False,True,False,26762719.0
Lars Ritzka,de GER,WB,0.0,"Sunday September 15, 2024",0,0,0.0,0.0,0.0,0.0,0,14,14,14,1,1,0,0,4,0,0.0,0.0,0.0,0,11,3,0,0,9,9,9,0,2,0,4,0,,0,0,0,0,7,0,2,0,0,0.0,-,Defensa,True,False,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Saturday March 15, 2025",0,1,0.0,0.0,0.0,0.0,1,61,61,61,5,5,0,0,29,8,0.0,0.0,0.0,4,55,6,0,0,57,57,57,0,4,0,4,0,,0,2,1,0,46,0,0,0,1,50.0,-,Defensa,True,False,False,False,1033784.0
Anthony Jung,de GER,CB,0.0,"Sunday September 15, 2024",0,0,0.0,0.0,0.0,0.0,2,56,56,56,4,4,0,0,31,2,0.0,0.0,0.0,2,48,8,0,0,46,46,46,0,8,0,2,0,,0,0,0,1,39,0,0,0,2,100.0,-,Defensa,True,False,False,False,1296165.0
Lars Ritzka,de GER,CB,0.0,"Friday March 14, 2025",0,0,0.0,0.0,0.0,0.0,0,5,5,5,0,0,0,0,2,0,0.0,0.0,0.0,0,5,0,0,0,2,2,2,0,3,0,1,0,,0,0,1,0,2,0,0,0,0,,-,Defensa,True,False,False,False,0.0
Lars Ritzka,de GER,WB,0.0,"Saturday March 8, 2025",0,1,0.0,0.0,0.0,0.0,0,11,11,11,1,1,0,0,3,0,0.0,0.0,0.0,0,9,2,0,0,9,9,9,0,1,0,5,0,,0,0,1,0,7,1,2,0,0,,-,Defensa,True,False,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Saturday March 8, 2025",0,0,0.0,0.0,0.0,0.0,1,40,40,40,0,0,0,0,8,3,0.0,0.0,0.0,2,28,12,0,0,32,32,32,0,2,0,0,0,,0,0,1,0,24,0,0,0,2,100.0,-,Defensa,True,False,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Friday January 31, 2025",0,0,0.0,0.0,0.0,0.0,1,53,53,53,0,0,0,0,13,5,0.0,0.0,0.0,2,45,8,0,0,36,36,36,0,5,1,2,0,,0,0,2,0,23,0,0,0,4,100.0,-,Defensa,True,False,False,False,15765437.0
David Mokwa,fr FRA,WB,0.0,"Sunday February 2, 2025",0,2,0.3,0.3,0.0,0.0,0,2,2,2,0,0,1,1,0,0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,0,3,2,100.0,0,0,0,1,1,0,1,0,1,50.0,30.06.2029,Defensa,True,False,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Saturday August 24, 2024",0,0,0.0,0.0,0.0,0.0,0,28,28,28,1,1,0,0,14,4,0.0,0.0,0.0,1,26,2,0,0,27,27,27,0,2,0,1,0,,0,1,0,0,23,0,0,0,1,50.0,-,Defensa,True,False,False,False,0.0
Lars Ritzka,de GER,CB,0.0,"Saturday December 21, 2024",0,1,0.0,0.0,0.0,0.0,2,29,29,29,2,2,0,0,16,1,0.0,0.0,0.0,3,25,4,0,0,26,26,26,0,6,0,2,0,,0,0,0,0,21,0,0,0,0,0.0,-,Defensa,True,False,False,False,5309354.0
Anthony Jung,de GER,CB,0.0,"Saturday December 21, 2024",0,0,0.0,0.0,0.0,0.0,0,58,58,58,3,3,0,0,32,3,0.0,0.0,0.0,2,53,5,0,0,52,52,52,0,7,0,1,0,,0,0,0,0,44,1,0,0,1,25.0,-,Defensa,True,False,False,False,0.0
Lars Ritzka,de GER,CB,0.0,"Sunday January 26, 2025",0,1,0.0,0.0,0.0,0.0,1,31,31,31,1,1,0,0,13,3,0.0,0.0,0.0,1,28,3,0,1,25,25,25,0,2,0,3,0,,0,0,0,0,21,0,0,1,0,0.0,-,Defensa,True,False,False,False,0.0
Lars Ritzka,de GER,"LM,LB",0.0,"Saturday December 14, 2024",0,0,0.0,0.0,0.0,0.0,0,11,11,11,0,0,0,0,3,0,0.0,0.0,0.0,0,8,3,0,0,6,6,6,0,1,0,1,0,,0,0,0,0,4,1,0,0,0,0.0,-,Otros,False,False,False,True,1460549.0
Anthony Jung,de GER,CB,0.0,"Saturday May 17, 2025",0,0,0.0,0.0,0.0,0.0,0,6,6,6,0,0,0,0,4,0,0.0,0.0,0.0,0,6,0,0,0,6,6,6,0,1,0,0,0,,0,0,0,0,4,0,0,0,0,,-,Defensa,True,False,False,False,0.0
Lars Ritzka,de GER,"LB,RM",0.0,"Saturday December 7, 2024",0,0,0.0,0.0,0.0,0.0,0,3,3,3,0,0,0,0,1,0,0.0,0.0,0.0,0,2,1,0,1,2,2,2,0,0,0,0,0,,0,0,0,0,2,0,0,1,0,,-,Otros,False,False,False,True,0.0
Lars Ritzka,de GER,"CB,LM",0.0,"Saturday May 17, 2025",0,0,0.0,0.0,0.0,0.0,0,34,34,34,0,0,0,0,12,0,0.0,0.0,0.0,1,34,0,0,1,19,19,19,0,4,0,7,1,,0,0,0,0,24,4,0,1,3,100.0,-,Otros,False,False,False,True,5258879.0
Anthony Jung,de GER,CB,0.0,"Sunday October 20, 2024",0,0,0.0,0.0,0.0,0.0,0,12,12,12,1,1,0,0,5,1,0.0,0.0,0.0,0,12,0,0,0,11,11,11,0,0,0,0,0,,0,0,0,0,9,0,0,0,0,,-,Defensa,True,False,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Saturday December 7, 2024",0,0,0.0,0.0,0.0,0.0,1,62,62,62,2,2,0,0,26,1,0.0,0.0,0.0,0,54,8,0,0,52,52,52,0,7,0,1,0,,0,0,1,0,45,0,0,0,3,60.0,-,Defensa,True,False,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Saturday November 30, 2024",0,0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0,1,0,0,0,1,1,1,0,1,0,1,1,,0,1,0,0,1,0,0,0,0,,-,Defensa,True,False,False,False,0.0
Lars Ritzka,de GER,LM,0.0,"Friday November 29, 2024",0,0,0.0,0.0,0.0,0.0,0,14,14,14,0,0,0,0,1,1,0.0,0.0,0.0,0,10,4,0,1,7,7,7,0,1,0,7,1,,0,0,0,0,7,1,0,1,0,,-,Mediocampista,False,False,True,False,0.0
Almugera Kabar,de GER,LB,0.0,"Saturday October 26, 2024",0,0,0.0,0.0,0.1,0.1,1,27,27,27,2,2,0,0,8,1,0.1,0.1,0.0,4,25,2,0,0,24,24,24,0,1,0,5,1,,0,1,0,0,21,0,2,0,1,100.0,30.06.2028,Defensa,True,False,False,False,5315652.800000001
Almugera Kabar,de GER,LB,0.0,"Saturday November 23, 2024",0,0,0.0,0.0,0.0,0.0,0,7,7,7,0,0,0,0,3,0,0.0,0.0,0.0,1,5,2,0,0,7,7,7,0,0,0,1,0,,0,1,0,1,5,0,0,0,0,0.0,30.06.2028,Defensa,True,False,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Saturday October 26, 2024",0,0,0.0,0.0,0.0,0.0,0,3,3,3,2,2,0,0,2,0,0.0,0.0,0.0,1,3,0,0,0,3,3,3,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0.0,-,Defensa,True,False,False,False,0.0
Lars Ritzka,de GER,LB,0.0,"Saturday November 9, 2024",0,0,0.0,0.0,0.0,0.0,1,39,39,39,2,2,0,0,16,1,0.0,0.0,0.1,1,30,9,0,2,29,29,29,0,1,0,11,0,,0,1,0,0,23,3,1,2,0,,-,Defensa,True,False,False,False,0.0
Almugera Kabar,de GER,LB,0.0,"Saturday November 9, 2024",0,0,0.0,0.0,0.0,0.0,0,3,3,3,0,0,0,0,0,0,0.0,0.0,0.0,0,3,0,0,0,2,2,2,0,1,0,2,0,,0,1,0,0,2,1,0,0,0,,30.06.2028,Defensa,True,False,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Saturday November 9, 2024",0,0,0.0,0.0,0.0,0.0,1,73,73,73,8,8,0,0,32,8,0.0,0.0,0.0,6,69,4,0,1,65,65,65,0,2,0,5,0,,0,3,0,0,56,1,1,1,5,55.6,-,Defensa,True,False,False,False,3943929.0
Anthony Jung,de GER,CB,0.0,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,1,43,43,43,3,3,1,1,16,1,0.0,0.0,0.0,4,41,2,0,0,39,39,39,0,0,0,4,0,100.0,0,0,0,0,32,0,0,0,0,,-,Defensa,True,False,False,False,0.0
Ihlas Bebou,tg TOG,AM,0.0,"Saturday May 17, 2025",0,0,0.0,0.0,0.0,0.0,0,4,4,4,0,0,0,0,0,0,0.0,0.0,0.0,0,4,0,0,0,2,2,2,0,0,0,3,1,,0,0,1,0,5,0,0,0,0,,30.06.2026,Mediocampista,False,False,True,False,0.0
Lars Ritzka,de GER,WB,0.0,"Saturday November 2, 2024",0,1,0.0,0.0,0.0,0.0,1,11,11,11,1,1,0,0,5,0,0.0,0.0,0.0,2,8,3,0,0,9,9,9,0,6,0,5,0,,0,1,1,0,5,2,0,0,0,0.0,-,Defensa,True,False,False,False,2193734.0
Almugera Kabar,de GER,LB,0.0,"Friday January 10, 2025",0,0,0.0,0.0,0.0,0.0,1,54,54,54,3,3,1,1,19,1,0.0,0.0,0.0,1,45,9,0,0,50,50,50,0,1,0,7,0,50.0,0,0,0,2,45,0,0,0,1,50.0,30.06.2028,Defensa,True,False,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Saturday December 14, 2024",0,0,0.0,0.0,0.0,0.0,0,72,72,72,3,3,0,0,31,8,0.0,0.0,0.0,2,65,6,0,0,65,65,65,1,0,0,2,0,,0,0,0,1,57,0,0,0,0,,-,Defensa,True,False,False,False,0.0
Lars Ritzka,de GER,WB,0.0,"Sunday August 25, 2024",0,2,0.2,0.2,0.0,0.0,2,39,39,39,2,2,0,0,14,0,0.0,0.0,0.0,3,33,6,0,5,29,29,29,0,1,0,17,1,,0,0,0,2,25,4,0,5,0,0.0,-,Defensa,True,False,False,False,1075681.0
Anthony Jung,de GER,CB,0.0,"Sunday January 19, 2025",0,0,0.0,0.0,0.0,0.0,1,99,99,99,14,14,0,0,50,6,0.0,0.0,0.0,5,95,4,0,0,93,93,93,0,2,0,7,0,,0,0,1,0,83,0,1,0,2,50.0,-,Defensa,True,False,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Saturday October 5, 2024",0,0,0.0,0.0,0.0,0.0,1,116,116,116,6,6,1,1,68,6,0.0,0.0,0.1,6,112,4,0,0,108,108,108,0,3,0,1,0,100.0,0,0,0,0,100,1,0,0,0,0.0,-,Defensa,True,False,False,False,3084383.0
Lars Ritzka,de GER,"CB,WB",0.0,"Sunday May 11, 2025",0,0,0.0,0.0,0.0,0.0,0,22,22,22,1,1,0,0,8,1,0.0,0.0,0.0,1,17,4,0,1,15,15,15,1,2,0,4,0,,0,1,0,0,13,1,1,1,0,0.0,-,Otros,False,False,False,True,0.0
Anthony Jung,de GER,CB,0.0,"Wednesday January 15, 2025",0,0,0.0,0.0,0.0,0.0,0,70,70,70,6,6,0,0,33,9,0.0,0.0,0.0,2,62,8,0,0,65,65,65,0,5,0,2,0,0.0,1,0,1,0,54,0,0,0,1,100.0,-,Defensa,True,False,False,False,0.0
Lars Ritzka,de GER,WB,0.0,"Saturday October 5, 2024",0,0,0.0,0.0,0.1,0.1,1,4,4,4,0,0,0,0,1,1,0.1,0.1,0.1,0,3,1,0,1,3,3,3,0,1,0,2,0,,0,0,0,0,2,0,0,1,0,,-,Defensa,True,False,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Saturday January 25, 2025",0,0,0.0,0.0,0.0,0.0,0,77,77,77,9,9,0,0,42,8,0.0,0.0,0.0,7,71,5,0,0,74,74,74,1,1,0,2,0,,0,1,0,0,54,0,0,0,1,100.0,-,Defensa,True,False,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Sunday January 12, 2025",0,0,0.0,0.0,0.0,0.0,0,66,66,66,11,11,1,1,39,4,0.0,0.0,0.0,4,65,1,0,0,62,62,62,0,4,0,1,0,100.0,0,0,2,0,54,0,1,0,0,,-,Defensa,True,False,False,False,0.0
Anthony Jung,de GER,CB,0.0,"Sunday September 29, 2024",0,0,0.0,0.0,0.0,0.0,2,109,109,109,12,12,1,1,29,2,0.0,0.0,0.2,22,104,5,0,1,108,108,108,0,3,0,26,0,100.0,0,9,0,0,90,1,0,1,0,,-,Defensa,True,False,False,False,84797542.0
Silvan Widmer,ch SUI,WB,0.0,"Saturday April 26, 2025",0,0,0.0,0.0,0.0,0.0,0,2,2,2,0,0,0,0,2,0,0.0,0.0,0.0,0,1,1,0,0,2,2,2,0,0,0,2,0,,0,0,1,0,1,1,0,0,0,0.0,30.06.2026,Defensa,True,False,False,False,0.0
Mikkel Kaufmann,dk DEN,CB,0.0,"Saturday November 2, 2024",0,0,0.0,0.0,0.0,0.0,0,3,3,3,0,0,0,0,2,0,0.0,0.0,0.0,0,3,0,0,0,2,2,2,0,1,0,1,0,0.0,1,0,0,0,4,0,1,0,0,0.0,30.06.2028,Defensa,True,False,False,False,0.0
Silvan Widmer,ch SUI,WB,0.0,"Sunday January 19, 2025",0,1,0.0,0.0,0.0,0.0,1,25,25,25,3,3,0,0,11,2,0.0,0.0,0.1,2,20,5,0,4,18,18,18,0,3,0,11,2,,0,1,1,0,17,6,0,4,2,66.7,30.06.2026,Defensa,True,False,False,False,0.0
Marnon Busch,de GER,RB,0.0,"Sunday August 25, 2024",0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,30.06.2027,Defensa,True,False,False,False,0.0
Florian Muller,de GER,GK,0.0,"Saturday April 12, 2025",0,0,0.0,0.0,0.0,0.0,0,47,47,47,0,0,0,0,17,8,0.0,0.0,0.0,1,39,8,0,0,35,35,35,0,1,0,0,0,,0,0,0,0,27,0,0,0,0,,-,Arquero,False,False,False,False,0.0
Mikkel Kaufmann,dk DEN,LW,0.0,"Saturday September 28, 2024",0,0,0.0,0.0,0.0,0.0,2,15,15,15,2,2,0,0,2,0,0.0,0.0,0.0,0,14,0,0,1,5,5,5,1,2,0,10,1,,0,1,1,0,14,3,0,1,4,57.1,30.06.2028,Delantero,False,True,False,False,0.0
Marnon Busch,de GER,CB,0.0,"Sunday April 13, 2025",0,2,0.0,0.0,0.0,0.0,0,42,42,42,2,2,0,0,15,6,0.0,0.0,0.0,1,35,6,0,1,33,33,33,1,3,0,7,1,,0,0,1,0,28,2,0,1,0,,30.06.2027,Defensa,True,False,False,False,0.0
Silvan Widmer,ch SUI,WB,0.0,"Sunday November 24, 2024",0,0,0.0,0.0,0.0,0.0,0,7,7,7,1,1,0,0,3,1,0.0,0.0,0.0,0,5,2,0,0,7,7,7,0,0,0,2,0,,0,0,1,0,6,0,0,0,0,0.0,30.06.2026,Defensa,True,False,False,False,0.0
Florian Muller,de GER,GK,0.0,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,30,30,30,0,0,0,0,5,10,0.0,0.0,0.0,1,17,13,0,0,15,15,15,0,1,0,0,0,,0,0,0,0,11,0,0,0,0,,-,Arquero,False,False,False,False,0.0
Marnon Busch,de GER,"RB,CB",0.0,"Saturday September 28, 2024",0,1,0.0,0.0,0.0,0.0,2,64,64,64,2,2,0,0,20,9,0.0,0.0,0.1,4,54,10,0,3,46,46,46,0,4,0,12,0,,0,1,1,0,42,1,1,3,0,0.0,30.06.2027,Otros,False,False,False,True,3410895.0
Silvan Widmer,ch SUI,WB,0.0,"Friday January 31, 2025",0,0,0.0,0.0,0.0,0.0,0,5,5,5,1,1,0,0,1,0,0.0,0.0,0.0,0,5,0,0,0,4,4,4,0,0,0,3,2,,0,0,0,0,6,2,1,0,0,,30.06.2026,Defensa,True,False,False,False,0.0
Silvan Widmer,ch SUI,WB,0.0,"Saturday February 8, 2025",0,0,0.0,0.0,0.0,0.0,0,40,40,40,4,4,0,0,9,0,0.0,0.0,0.0,2,30,10,0,1,31,31,31,0,3,0,20,0,0.0,1,0,0,1,25,7,1,1,2,40.0,30.06.2026,Defensa,True,False,False,False,0.0
Marnon Busch,de GER,"CB,LB",0.0,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,1,40,40,40,1,1,0,0,17,6,0.0,0.0,0.0,4,37,3,0,2,29,29,29,0,2,0,4,0,,0,0,0,0,30,0,0,2,1,100.0,30.06.2027,Otros,False,False,False,True,3941952.0
Mikkel Kaufmann,dk DEN,FW,0.0,"Saturday November 23, 2024",0,0,0.0,0.0,0.0,0.0,1,8,8,8,1,1,1,1,0,2,0.0,0.0,0.2,1,8,0,1,0,4,4,4,0,1,0,3,0,100.0,0,1,2,0,8,1,0,0,0,0.0,30.06.2028,Delantero,False,True,False,False,0.0
Silvan Widmer,ch SUI,WB,0.0,"Saturday April 19, 2025",0,0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,1,100.0,30.06.2026,Defensa,True,False,False,False,0.0
Silvan Widmer,ch SUI,WB,0.0,"Saturday January 25, 2025",0,0,0.0,0.0,0.0,0.0,0,3,3,3,1,1,0,0,0,0,0.0,0.0,0.0,1,3,0,0,0,2,2,2,0,1,0,2,1,,0,0,1,0,4,2,0,0,0,,30.06.2026,Defensa,True,False,False,False,0.0
Florian Muller,de GER,GK,0.0,"Sunday September 1, 2024",0,0,0.0,0.0,0.0,0.0,0,43,43,43,0,0,0,0,19,5,0.0,0.0,0.0,0,32,11,0,0,25,25,25,0,0,0,0,0,,0,0,0,0,21,0,0,0,0,,-,Arquero,False,False,False,False,0.0
Florian Muller,de GER,GK,0.0,"Saturday April 26, 2025",0,0,0.0,0.0,0.0,0.0,0,32,32,32,0,0,0,0,10,6,0.0,0.0,0.0,3,24,8,0,0,22,22,22,0,0,0,0,0,,0,0,0,0,14,0,0,0,0,,-,Arquero,False,False,False,False,3396736.0
Marnon Busch,de GER,"CB,LB",0.0,"Saturday February 8, 2025",0,1,0.0,0.0,0.0,0.0,1,62,62,62,3,3,0,0,30,11,0.0,0.0,0.1,6,58,4,0,0,50,50,50,0,2,0,5,0,,0,1,0,0,49,0,0,0,1,100.0,30.06.2027,Otros,False,False,False,True,16596707.0
Marnon Busch,de GER,RB,0.0,"Saturday January 25, 2025",0,1,0.0,0.0,0.1,0.1,1,8,8,8,0,0,0,0,3,0,0.1,0.1,0.0,1,7,1,0,1,6,6,6,0,0,0,4,0,,0,0,1,0,6,0,0,1,0,,30.06.2027,Defensa,True,False,False,False,0.0
Marnon Busch,de GER,CM,0.0,"Friday April 25, 2025",0,0,0.0,0.0,0.0,0.0,0,19,19,19,4,4,0,0,5,2,0.0,0.0,0.0,3,15,3,0,4,12,12,12,1,2,0,7,1,0.0,0,1,0,0,14,3,1,4,1,50.0,30.06.2027,Mediocampista,False,False,True,False,0.0
Silvan Widmer,ch SUI,CB,0.0,"Saturday November 9, 2024",0,0,0.0,0.0,0.0,0.0,0,9,9,9,1,1,0,0,5,1,0.0,0.0,0.0,0,8,1,0,0,8,8,8,0,1,0,2,0,,0,0,0,0,7,0,0,0,0,0.0,30.06.2026,Defensa,True,False,False,False,0.0
Silvan Widmer,ch SUI,WB,0.0,"Sunday November 3, 2024",0,0,0.0,0.0,0.0,0.0,0,3,3,3,0,0,0,0,0,0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0,0,0,2,0,,0,0,0,0,2,1,0,1,0,,30.06.2026,Defensa,True,False,False,False,0.0
Marnon Busch,de GER,"LB,CM",0.0,"Friday May 2, 2025",0,0,0.0,0.0,0.0,0.0,0,35,35,35,5,5,0,0,11,5,0.0,0.0,0.0,3,30,5,0,3,25,25,25,0,3,0,10,1,,0,0,0,1,14,0,0,3,2,40.0,30.06.2027,Otros,False,False,False,True,3693534.0
Silvan Widmer,ch SUI,WB,0.0,"Saturday August 31, 2024",0,0,0.0,0.0,0.4,0.4,1,6,6,6,2,2,0,0,1,0,0.4,0.4,0.2,1,5,1,0,0,4,4,4,0,1,0,2,1,0.0,1,0,0,0,4,0,0,0,0,,30.06.2026,Defensa,True,False,False,False,21437343.200000003
Florian Muller,de GER,GK,0.0,"Saturday January 18, 2025",0,0,0.0,0.0,0.0,0.0,0,51,51,51,0,0,0,0,18,14,0.0,0.0,0.0,2,42,8,0,0,34,34,34,1,0,0,0,0,,0,0,0,0,30,0,0,0,0,,-,Arquero,False,False,False,False,0.0
